   0.0000000e+00   6.2006771e+03
   1.0000000e+00   6.2425963e+03
   2.0000000e+00   6.2431643e+03
   3.0000000e+00   6.2564268e+03
   4.0000000e+00   6.3037285e+03
   5.0000000e+00   6.1907444e+03
   6.0000000e+00   6.2320335e+03
   7.0000000e+00   6.2289737e+03
   8.0000000e+00   6.2642566e+03
   9.0000000e+00   6.2903982e+03
   1.0000000e+01   6.2281366e+03
   1.1000000e+01   6.2798298e+03
   1.2000000e+01   6.2639350e+03
   1.3000000e+01   6.2666379e+03
   1.4000000e+01   6.2692271e+03
   1.5000000e+01   6.2588589e+03
   1.6000000e+01   6.2465307e+03
   1.7000000e+01   6.2666327e+03
   1.8000000e+01   6.2755666e+03
   1.9000000e+01   6.2244335e+03
   2.0000000e+01   6.1968338e+03
